id,talent_name,talent_description
44,"Good Negotiator","You take home 60% of your earnings instead of the standard 50%."
45,"Hacking","With uncanny ease, you can attempt to hack not only human computers but also Àrsaidh technology."
46,"Hacking","With uncanny ease, you can attempt to hack not only human computers but also Àrsaidh technology."
47,"Hard to Kill","Gain +1 max Wounds."
48,"Hard to Kill","Gain +1 max Wounds."
49,"Ignore Cover","[Cost: 8 Stamina] Fire at an enemy behind cover as if they had no cover at all."
50,"Ignore Cover","[Cost: 8 Stamina] Fire at an enemy behind cover as if they had no cover at all."
51,"Lucky","Each time you roll a natural 11 on the D20, you gain 1 Luck. You may not earn Luck any other way."
52,"Lucky","Each time you roll a natural 11 on the D20, you gain 1 Luck. You may not earn Luck any other way."
53,"Marksman","Gain +2 damage on ranged attacks."
54,"Marksman","Gain +2 damage on ranged attacks."
55,"Momentum","[Cost: 5 Stamina] Deal an extra +1D6 damage to a wounded opponent in an attempt to eliminate them. If the opponent is dismembered, gain +2 damage for the rest of the combat (stacks)."
56,"Momentum","[Cost: 5 Stamina] Deal an extra +1D6 damage to a wounded opponent in an attempt to eliminate them. If the opponent is dismembered, gain +2 damage for the rest of the combat (stacks)."
57,"Movement Economy","You only spend 3 Stamina per round while in Stealth."
58,"Movement Economy","You only spend 3 Stamina per round while in Stealth."
59,"Multi-Target","[Cost: 10 Stamina] Target 3 adjacent enemies with one melee or ranged weapon attack."
60,"Multi-Target","[Cost: 10 Stamina] Target 3 adjacent enemies with one melee or ranged weapon attack."
61,"Neutralize","[Cost: 10 Stamina] Carefully observe your opponent’s stance and then neutralize their next attack."
62,"Neutralize","[Cost: 10 Stamina] Carefully observe your opponent’s stance and then neutralize their next attack."
63,"Overpower","If you roll max damage (e.g., a total of 16 on D10+6), you automatically inflict a Wound."
64,"Overpower","If you roll max damage (e.g., a total of 16 on D10+6), you automatically inflict a Wound."
65,"Overwhelm","After a knocked-down opponent recovers, their Recovery Status roll is modified by +3."
66,"Overwhelm","After a knocked-down opponent recovers, their Recovery Status roll is modified by +3."
67,"Pack Rat","You perfectly arrange things in your bag, gaining +2 Gear Slots."
68,"Pack Rat","You perfectly arrange things in your bag, gaining +2 Gear Slots."
69,"Parry","[Cost: 8 Stamina] When hit by an attack, roll your weapon’s damage. If your roll is equal to or higher than the attacker’s damage, you parry and take no damage."
70,"Parry","[Cost: 8 Stamina] When hit by an attack, roll your weapon’s damage. If your roll is equal to or higher than the attacker’s damage, you parry and take no damage."
71,"Point-Blank Expert","You suffer no penalty when using a ranged weapon in melee."
72,"Point-Blank Expert","You suffer no penalty when using a ranged weapon in melee."
73,"Quiet","All rolls on the Site Activity table are reduced by 1 (minimum 1). This effect does not stack."
74,"Quiet","All rolls on the Site Activity table are reduced by 1 (minimum 1). This effect does not stack."
75,"Red Armor","[Cost: 3 Stamina] Tear through an enemy’s defenses, causing them to permanently lose 2 Armor."
76,"Red Armor","[Cost: 3 Stamina] Tear through an enemy’s defenses, causing them to permanently lose 2 Armor."
77,"Resilient","You no longer suffer −2 to all rolls while injured."
78,"Resilient","You no longer suffer −2 to all rolls while injured."
79,"Resist the Taint","You may ignore the negative effects of a Taint."
80,"Resist the Taint","You may ignore the negative effects of a Taint."
81,"Resuscitate","When another character dies, you may perform a Medical Aid check. On an Impressive success or better, they survive with 1 Wound remaining."
82,"Resuscitate","When another character dies, you may perform a Medical Aid check. On an Impressive success or better, they survive with 1 Wound remaining."
83,"Skill Boost","[Cost: 1 Luck] Gain +5 to your next skill check."
84,"Skill Boost","[Cost: 1 Luck] Gain +5 to your next skill check."
85,"Step Where I Step","You lead the way while sneaking, granting the rest of your team +2 to their next Stealth check."
86,"Step Where I Step","You lead the way while sneaking, granting the rest of your team +2 to their next Stealth check."
87,"Strong","Deal +2 extra damage on melee attacks."
88,"Strong","Deal +2 extra damage on melee attacks."
89,"Targeted Viscera","Gain +1 on all rolls on the Hit Location table."
90,"Targeted Viscera","Gain +1 on all rolls on the Hit Location table."
91,"Tough","You roll Recovery checks with +2 WIL."
92,"Tough","You roll Recovery checks with +2 WIL."
93,"Vigorous","Gain +2 extra Stamina per turn."
94,"Vigorous","Gain +2 extra Stamina per turn."
95,"Weak Spot","[Cost: 2 Stamina] Re-roll a failed attack roll after successfully spotting your target’s weakness."
96,"Weak Spot","[Cost: 2 Stamina] Re-roll a failed attack roll after successfully spotting your target’s weakness."
97,"Weak Spot","[Cost: 2 Stamina.] Re-roll a damage roll after successfully attacking."
98,"Weak Spot","[Cost: 2 Stamina.] Re-roll a damage roll after successfully attacking."
99,"Well Connected","You have friends everywhere in Karum Station, which allows you to find rare gear with a roll of 12+."
100,"Well Connected","You have friends everywhere in Karum Station, which allows you to find rare gear with a roll of 12+."
